sentence,relation,head,head_offset,tail,tail_offset
《对你还是爱》来自叶倩文的专辑《真心》,所属专辑,对你还是爱,1,真心,16
郎世宁郎世宁出生于意大利，于清康熙帝五十四年来中国传教，随即入宫进入如意馆，在中国从事绘画50多年，为清代宫廷十大画家之一，主要作品有《十骏犬图》、《百骏图》、《乾隆大阅图》、《瑞谷图》、《花鸟图》、《百子图》等，并参加了圆明园西洋楼的设计工作，极大地影响了清代大部分时期的宫廷绘画和审美趣味,出生地,郎世宁,0,意大利,9
黎宗发，男，苗族，，1958年8月出生，贵州思南人,民族,黎宗发,0,苗族,6
基本资料：用名：里昂、leonod（里昂纳德）  生日：1987年7月30日（狮子座）  血型：o型  身高：178cm  自由绘画师,出生日期,leonod,11,1987年7月30日,28
上海永鼎光电子技术有限公司于2001年5月22日在闵行区市场监督管理局登记成立,成立日期,上海永鼎光电子技术有限公司,0,2001年5月22日,14
《想雪》是一首由冯正作词、德永英明作曲，ricky ho编曲，王杰演唱的粤语歌曲，收录在专辑《爱与梦》中，由英皇娱乐于2002年07月12日发行,作曲,想雪,1,德永英明,13
创世中文网连载都市小说《余罪》,连载网站,创世中文网,0,余罪,12
马海德（罗伟饰），电视剧《历史永远铭记》1是由中央电视台、陕西广播电视台、北京中视嘉铭文化传播有限公司、力超(上海)影视文化工作室联合出品革命爱情史诗剧，剧中马海德原名乔治·海德姆，23岁就获得医学博士学位并到中国考察和工作，1937年在延安加入中国共产党,出品公司,历史永远铭记,13,中央电视台,23
”王扶林作为导演自不必说，没有他可能我们今天就无法看到87版《红楼梦》电视剧,导演,王扶林,1,红楼梦,31
贵州珍酒酿酒有限公司于2009年9月28日在遵义市汇川区市场监督管理局登记成立,成立日期,贵州珍酒酿酒有限公司,0,2009年9月28日,11
谷皮巴蜗牛，柄眼目动物,目,谷皮巴蜗牛,0,柄眼目,6
王研，男，满族，1960年11月生，辽宁宽甸人，1983年10月加入中国共产党，1983年12月参加工作，在职研究生学历，研究员、兼职教授、博导,国籍,王研,0,中国,34
张嘉译大器晚成，2009年凭借电视剧《蜗居》宋思明一角走红,主演,张嘉译,0,蜗居,19
"广东南亮玻璃科技有限公司成立于1999年,并于2013年获得高新技术企业",成立日期,广东南亮玻璃科技有限公司,0,1999年,15
另一个想说的应该就是陈粒了，她也是属于那种唱作俱佳的吧，《易燃易爆炸》，《祝星》，《奇妙能力歌》，《小半》，《妙龄童》都是超级好听的那种，而且她也当过快乐男生的评委，可见真的是有很多人是承认她的实力的，所以有实力的民谣歌手，他也肯定算是一个,歌手,陈粒,10,祝星,37
《心正影不邪》是晓风残月花依旧创作的网络小说，发表于17k小说网,作者,心正影不邪,1,晓风残月花依旧,8
《周末时光》是由安德鲁·海格执导，汤姆·库伦、克里斯·钮主演的爱情电影，于2011年11月4日在英国上映,上映时间,周末时光,1,2011年11月4日,37
《凡心》是由吴汶芳作词、作曲并演唱的歌曲，收录在吴汶芳2015年发行的首张个人专辑《汶乱，却美好着》中,作词,凡心,1,吴汶芳,6
《小博士彩图寓言》是2003年上海辞书出版社出版的图书，作者是孙锡信,出版社,小博士彩图寓言,1,上海辞书出版社,15
然而，在其死后，“诸侯皆去益而朝启”，原本的新一任“天子”伯益并未登上帝位，而是由大禹之子姒启继承了帝位，开启了“家天下”的历史,父亲,大禹,41,姒启,45
近期袁咏仪也透露儿子魔童（张慕童）以前不想有弟妹，最近开始想要，“不过他要求我要6年后先可以生，是因为他看看到贾斯汀·比伯在16岁时抱着弟弟，觉得好有型，都不知道我6年后还能不能生”,母亲,袁咏仪,2,张慕童,13
《戏别离》是2008年上海文艺出版社出版的图书，作者是藏尽楼兰,出版社,戏别离,1,上海文艺,11
马永刚，男，1972年生1，毕业于东北师范大学，微课网创始人2，原新东方铭师堂学校创始人3,毕业院校,马永刚,0,东北师范大学,17
蒋乐龙，男，汉族，湖南洪江市人，先后担任怀化医专门诊部负责人、儿传教研室主任、护理系主任、九三学社怀化市委副主委、怀化市政协常委等职，现任湖南医药学院党委委员、副院长,民族,蒋乐龙,0,汉族,6
《龟岩许浚》为韩国mbc电视台自2013年3月起播出的日日剧，改编自1999年播出的60集人气电视剧《许浚》。由金根弘执导，崔完圭编剧，金柱赫、朴真熙、南宫民、朴恩彬、白允植等领衔主演,编剧,龟岩许浚,1,崔完圭,62
（图片来自东方ic）2009年李宇春跨界电影领域，携手监制陈可辛、导演陈德森主演了《十月围城》，，并演唱了电影主题曲《粉末》，成为华语影史上首位获得香港电影金像奖同届三项提名的歌手艺人（最佳新演员、最佳女配角、最佳原创电影歌曲）,导演,陈德森,35,十月围城,42
一场法、理、情之间的较量展开了……相关资讯《孽女花》制作人是台湾电视史上的“畸情剧教父”——中视剧场“花系列”制作人魏约翰先生,制片人,孽女花,22,魏约翰,58
《七情六欲》是雨宗林的音乐作品，许常德作曲，收录在《三世缘》专辑中,作曲,七情六欲,1,许常德,16
《没时间后悔》是陈奂仁创作并演唱的歌曲，收录在他2011年8月28日发行的专辑《谁是陈奂仁》中，是电视剧《怒火街头》的主题曲1,所属专辑,没时间后悔,1,谁是陈奂仁,40
北京江森汽车部件有限公司成立于2002年1月23日，由北京海纳川汽车部件股份有限公司、北汽光华汽车部件有限公司和江森自控汽车内饰投资有限公司共同出资组建,成立日期,北京江森汽车部件有限公司,0,2002年1月23日,15
8月12日 ，杰森·斯坦森主演《敢死队3》在美国洛杉矶召开盛大首映礼，影片于8月15日正式在北美公映，并将于9月1日登陆中国内地27,主演,杰森·斯坦森,7,敢死队3,16
刘占兴，男，1966年3月生，汉族，内蒙古克什克腾旗人，1987年4月入党，1987年7月参加工作，北京大学哲学系伦理学专业研究生毕业，哲学硕士，副研究员,民族,刘占兴,0,汉族,15
小突毛眼花蝇是属双翅目、花蝇科下一个物种,目,小突毛眼花蝇,0,双翅目,8
《迷失森林之荒岛求生》是深海巨蟹创作的网络小说，发表于17k小说网,连载网站,迷失森林之荒岛求生,1,17k小说网,27
完美执行之最佳企业文化，作者：张云红，中国时代经济出版社出版,出版社,完美执行之最佳企业文化,0,中国时代经济出版社,19
宿主作死的一百种方法是书迷一浅创作的网络小说，发表于腾讯文学旗下网站的云起书院,作者,宿主作死的一百种方法,0,书迷一浅,11
马鼎盛祖籍广东省佛山顺德，父母是粤剧界的顶尖伶人马师曾和红线女，马鼎盛在北京清华附中度过青少年时代，毕业于广州中山大学历史系,毕业院校,马鼎盛,0,中山大学,55
谭载友 教授还担任广东省科技项目评估专家委员会医药组成员、广东省化学会理事和物理化学专业委员会副主任委员、《中国药物化学杂志》和《中国处方药杂志》等学术期刊编委等,国籍,谭载友,0,中国,54
《第三种幸福》是由上海新文化传媒集团股份有限公司出品的一部电视剧，由马功伟执导，徐帆、于小慧、何昊阳、任帅、毕彦君、孙桂田等人主演，于2013年11月20日在上海电视剧频道播出12,主演,第三种幸福,1,任帅,51
其中《园冶注释》（张悟静设计，中国建筑工业出版社出版），是我国著名林学家、造园学家陈植为明代造园学家计成所著《园冶》做的注释,作者,园冶,3,计成,50
康熙王朝是2001年中国大陆拍摄的一部大型历史电视连续剧，公元1644年，中国东北以满族为主体的少数民族政权清朝的军队在明朝将领吴三桂的带引下大举进入山海关内、攻占京师（今中国北京），大清王朝定都北京,上映时间,康熙王朝,0,2001年,5
刀剑若梦（《刀剑如梦》粤语版），歌手是周华健，作词是林夕，作曲是周华健，收录于专辑《有弦相聚》3中，发行公司是滚石唱片，发行日期是1994,所属专辑,刀剑若梦,0,有弦相聚,42
赵如意，蒙古族，1950年出生，内蒙古土默特左旗人,出生日期,赵如意,0,1950年,8
《无限刀皇》是狎鱼创作的网络小说，发表于起点网,连载网站,无限刀皇,1,起点网,20
《风华绝代》是台湾华视与大陆合拍的电视剧，于1992年播出,上映时间,风华绝代,1,1992,22
2017年，与张予曦、邢昭林、戴景耀合作主演都市奇幻爱情剧《无法拥抱的你》，这是他的首部影视剧作品,主演,邢昭林,11,无法拥抱的你,30
王吉贞，山西大同人，祖籍河南，原姓李，康熙年间曾官至兵部侍郎,祖籍,王吉贞,0,河南,12
人物经历英若聪 ，1952年毕业于清华大学建筑系的英若聪是研究和教授建筑史的，他认为，不能把建筑简单地与艺术划等号,毕业院校,英若聪,4,清华大学,17
孔正锡，导演，2005年以一部温馨的爱情电影《长腿叔叔》敲开电影界大门,导演,孔正锡,0,长腿叔叔,23
《亲爱的阿基米德》是一本2016年3月由宁夏人民出版社出版的推理言情小说，作者是玖月晞,出版社,亲爱的阿基米德,1,宁夏人民出版社,20
林夕为他填的《边走边爱》，初听似乎是写短暂却又怕抓不住的爱情，只能在一步步行进、一路相爱,作词,林夕,0,边走边爱,7
生平简介江畔劲苗罗稷南祖籍南京，到定居凤庆已是第11 代,祖籍,罗稷南,8,南京,13
简介金德均，1970年毕业于哈尔滨医科大学医疗系,毕业院校,金德均,2,哈尔滨医科大学,14
《只是一地碎影》是在17k小说网上连载的一部都市言情小说，作者是杨汭,作者,只是一地碎影,1,杨汭,32
范积义 1940年11月生，原名范健生，福建长汀人,出生日期,范积义,0,1940年11月,4
《我们的故事》是中国内地女歌手王瑞淇演唱的歌曲，由王瑞淇填词、谭宇遥作曲，2016年电视剧《小饭桌的故事》片尾曲,作词,我们的故事,1,王瑞淇,15
简介朱治金，1975年1月13日出生于陕西安康汉阴县城关镇益心村，中国人体器官捐献者123捐赠原因“有好多理想、好多朱治金，梦想想去实现，但患了这个病，我什么都做不了了,出生日期,朱治金,2,1975年1月13日,6
创作背景2007年女足世界杯还在如火如荼的进行着，首次发布的女足世界杯官方主题曲并未引发太大关注，而球迷、歌迷和媒体们最津津乐道的还是由田震演唱的《风雨彩虹铿锵玫瑰》,歌手,田震,68,风雨彩虹铿锵玫瑰,74
据雷锋网(公众号：雷锋网)了解，始创于1995年的步步高集团，其控股子公司——步步高商业连锁股份有限责任公司（002251）于2008年6月19日在深圳证券交易所上市，其连锁门店已遍及湖南、江西、广西各地州市,成立日期,1995年,19,步步高集团,25
符兴彧，男，1974年8月出生，海南东方人，汉族，全日制中专、在职中央党校大学学历，1994年8月参加工作，1997年7月加入中国共产党,出生日期,符兴彧,0,1974年8月,6
刘习军，贾启芬等，《工程振动与测试技术》，天津大学出版社，1999年,作者,刘习军,0,工程振动与测试技术,10
《宣纸上的记忆》是2006年百花文艺出版社出版的图书，作者是刘长春,出版社,宣纸上的记忆,1,百花文艺出版社,14
重温家电发展历程 百年展区见证历史从1918年成立至今，松下所推出的家电产品从传奇的双头插座到电视、冰箱、洗衣机等，深入到人们生活的方方面面,成立日期,1918年,18,松下,28
《异界之纨绔废材》是在17k小说网连载的小说，作者是绝恋樱眸,作者,异界之纨绔废材,1,绝恋樱眸,26
《法医秦明》掀“法医热”《红海行动》口碑票房双丰收搜狐视频作为最早上线的互联网视频平台，是中国互联网领域最具影响力、最受用户喜爱的视频媒体之一，具有在pc端、电视、移动端全平台占据视频行业的领先优势,出品公司,法医秦明,1,搜狐视频,25
旧情复燃，安娥终于忍不住告诉田汉，他们的孩子还在世间，“长得也很高了”,妻子,安娥,5,田汉,14
吴璜璜，青年扬琴演奏家，中国音乐学院青年扬琴教师,毕业院校,吴璜璜,0,中国音乐学院,12
翼尾蚓蝇，属于双翅目、丽蝇科、蚓蝇属、翼尾蚓蝇1,目,翼尾蚓蝇,0,双翅目,7
"这明星阵容炸了吧,目前还没有定档，2018年底差不多38：《老男孩》《老男孩》是华策克顿旗下上海好剧影视有限公司出品，由刘俊杰执导，刘烨、林依晨、雷佳音领衔主演的都市情感剧",主演,老男孩,30,刘烨,66
早在2014年，刘强东就曾公开指责马云的公关团队炒作他和“奶茶妹妹”章泽天的恋情，破坏他的形象,妻子,刘强东,8,章泽天,34
《暗杀教室 5》是由松井优征  编写， 集英社  出版的一本书籍,出版社,暗杀教室 5,1,集英社,20
王菲唱谢霆锋成名金曲飙高音成车祸现场，谢霆锋却笑成花《因为爱所以爱》是谢霆锋的成名金曲，也是一首比较有难度的高音歌曲,歌手,谢霆锋,3,因为爱所以爱,27
《法理学的政治分析》是2013-年北京大学出版社出版的图书，作者是罗杰·科特瑞尔,出版社,法理学的政治分析,1,北京大学出版社,17
2气候张掖国家湿地公园区气候属明显的温带大陆性气候，其显著特点是：降水稀少而集中，年降雨量仅129毫米，在时间分布上，多集中在6—9月份，约占全年总量的71,气候,张掖国家湿地公园,3,温带大陆性气候,18
江苏施尔美整形美容医院自2001年创立之初，历经18年砥砺前行，收获了“最具影响力整形美容品牌”、“中国服务满意(医疗卫生行业)十佳诚信品牌”、“亚洲美容整形十强机构”、“中国美容医疗机构品牌榜最具人文关怀的医院”、“消费者最信赖的整形机构”、“《现代快报》读者最喜爱的整形机构”、“全国十大最具影响力整形美容机构”、“亚洲美容权力榜“最具权威奖””、“港澳台最信赖的内地整形美容机构”等诸多殊荣,成立日期,江苏施尔美整形美容医院,0,2001年,12
《赌王千王群英会》是香港导演宗政桓创造的作品，于 1982年在中国台湾上映,上映时间,赌王千王群英会,1,1982年,25
四川省三苏酒业有限责任公司坐落在我国北宋著名文学家“苏洵、苏轼（号东坡）、苏辙”的故里—四川眉山,总部地点,三苏酒业,3,四川眉山,44
《疯狂艳唇》是佐佐木浩久执导的一部恐怖剧情电影，本电影由新人三轮瞳映画初主演,导演,疯狂艳唇,1,佐佐木浩久,7
在“中国蓝”7周岁生日到来之际，温雅主动请缨担纲制片人、编剧，拍摄“中国蓝”微电影《蓝色狂想曲》，作为生日礼物庆祝“中国蓝”7岁生日,编剧,温雅,16,蓝色狂想曲,42
金碧物业有限公司成立于1997年，隶属于中国标准化运营的地产领导者——恒大地产集团，系国家一级资质物业管理企业,成立日期,金碧物业,0,1997年,11
步入二十一世纪，天愿大介似乎又对导筒发生了兴趣，陆续推出了几部电影，《世界上最美丽的夜晚》是他的最新力作,导演,天愿大介,8,世界上最美丽的夜晚,35
王力宏的新歌《落叶归根》涉嫌抄袭邓丽君的《我只在乎你》。13,歌手,王力宏,0,落叶归根,7
资料显示，南玻a即中国南玻集团股份有限公司，早在1984年成立，1992年南玻a、b股同时在深交所上市，成为我国最早的上市公司之一,成立日期,中国南玻集团股份有限公司,9,1984年,24
狭盘龙（属名：stenopelix）又名细盘龙，意为“狭窄的骨盆”，是小型鸟臀目恐龙的一属，生存于早白垩纪的德国,目,狭盘龙,0,鸟臀目,37
爪洼岩螺是一种新腹足目、骨螺科类生物，栖息于浅海珊瑚礁、岩石底，低潮线以下,目,爪洼岩螺,0,新腹足目,7
《你的两岁孩子》是2006年中国纺织出版社出版的图书，由王擎天、李浩合,作者,你的两岁孩子,1,王擎天,28
2011年《中国近现代名家精品丛书---秦明强山水作品精选》,国籍,中国,6,秦明强,20
平江起义旧址，原为1867年所建的天岳书院，位于距湖南省平江县城开发区，占地面积3000平方米,占地面积,平江起义旧址,0,3000平方米,40
《末世之遍地黄金》是睡懒人创作的网络小说，发表于起点网,作者,末世之遍地黄金,1,睡懒人,10
这首歌曲是周杰伦为一个刚出道的歌手专门创作的，后来周杰伦发现《困兽之斗》更适合自己唱，于是周杰伦决定亲自来演唱这首歌曲，并收录在专辑《七里香》中1,歌手,周杰伦,5,困兽之斗,31
白点裸胸鳝，又称白点裸胸鯙，为辐鳍鱼纲鳗鲡目鯙亚目鯙科的其中一种，分布于西印度洋区，从红海至南非algoa湾海域，栖息深度20-70米，体长可达130厘米，为底栖性鱼类，属肉食性，生活习性不明,目,白点裸胸鳝,0,鯙亚目,22
《pa（中英文本）》是2003年南海出版公司出版的图书，作者是科利，建筑世界株式会社,出版社,pa（中英文本）,1,南海出版公司,16
昆虫种名：一点钻夜蛾 earias pudicana staudinger  所属类别：鳞翅目 夜蛾科  简要介绍：头胸粉绿色，下唇须粉褐色,目,一点钻夜蛾,5,鳞翅目,44
《草字部首写法》是1990年文化艺术出版社出版的图书，作者是董天庆,出版社,草字部首写法,1,文化艺术出版社,14
《无限攻略》是六月之夜创作的网络小说，发表于起点网,作者,无限攻略,1,六月之夜,7
《中国江南古建筑装修装饰图典上册》是1994年中国工人出版社出版的图书,出版社,中国江南古建筑装修装饰图典上册,1,中国工人出版社,23
《增加公司现金流的黄金法则》是2011年中国人民大学出版社出版的图书，作者是（日）儿玉尚彦，译者是曹逸冰,出版社,增加公司现金流的黄金法则,1,中国人民大学出版社,20
由北京造视觉美文化传媒有限公司出品，looker录客制作，麦娱网营销发行，知名导演胡扬执导，陈敬德、姜春琦、冯梦等科班演员主演的网剧《怦然心痛》定档5月26日爱奇艺独播,导演,胡扬,41,怦然心痛,67
薛志伟，男，汉族，1961年4月生，山东胶县人，1985年2月加入中国共产党，1984年7月参加工作，哈尔滨师范大学经济管理专业大学毕业,国籍,薛志伟,0,中国,33
歌曲《最后的歌》选自专辑《冬天的故事》，由林夕作词，陈辉阳作曲，杨千嬅演唱，1999年华星唱片出版并发行,歌手,最后的歌,3,杨千嬅,32
《一起吃饭吧2》是韩国tvn于2015年4月6日播出的月火迷你连续剧，由朴俊华导演，任秀美编剧12,导演,一起吃饭吧2,1,朴俊华,36
1998年，温明娜在迪斯尼动画长片《花木兰》出任花木兰一角配音，还被《人物》杂志选为世界五十个美人之一,上映时间,1998年,0,花木兰,18
2013年再次尝试新的风格向商业片发起了冲击，由赵翀执导的电影《我的青春蜜友》将于2014年暑期档上映，票房上的突破指日可待,导演,赵翀,24,我的青春蜜友,32
《中国式关系》是由沈严、刘海波执导，陈建斌、马伊琍、赵立新、胡可、叶一云、代旭、李野萍、李兰迪、田小洁、吕中、盛冠森、丁子峻等联袂主演的当代现实情感剧,主演,中国式关系,1,胡可,30
黑龙江傲立辅龙科技开发有限公司于2008年2月28日在哈尔滨市市场监督管理局开发区分局登记成立,成立日期,黑龙江傲立辅龙科技开发有限公司,0,2008年2月28日,16
点击链接进入：  《丁丁历险记·破损的耳朵(小开本)》作者介绍埃尔热，原名乔治·雷米，1907年5月22日出生在布鲁塞尔,作者,丁丁历险记·破损的耳朵,10,埃尔热,31
空咏大智（日语：そらよみ だいち）是日本的男性漫画家,国籍,空咏大智,0,日本,18
2006年8月8日，中视广联斥资拍摄的电影《好奇害死猫》拿到北京电影洗印录像技术厂洗印，洗印工人赵师傅等认为影片激情程度超标，拒绝继续洗印并扣留下底片，原因是十年前，赵师傅曾因为类似的一件事情受过国家电影局处罚，大家心有余悸,上映时间,2006年,0,好奇害死猫,22
中国科学技术大学党委常委、组织部部长个人简介赵永飞（zhao yongfei），男，汉族，1955年12月生，研究员，中国科学技术大学党委常委、组织部部长1,国籍,中国,0,赵永飞,22
同年12月，从“网络歌手”成功转型为发片艺人，入围“亚洲明星排行榜”，同月本兮带着歌曲《溺爱》和《我不说》参加河北校园gogomusic校园见面会,歌手,本兮,37,我不说,49
发展历程2013年，杭州韩旭化妆品有限公司成立，主营化妆品,成立日期,2013,4,杭州韩旭化妆品有限公司,10
《谈点建筑好不好》是2013年清华大学出版社出版的图书，作者是张佳晶,出版社,谈点建筑好不好,1,清华大学出版社,15
《当这地球没有花》是香港流行男歌手陈奕迅演唱的一首粤语歌曲，由林夕作词，郭伟亮作曲，刘祖德编曲,作词,当这地球没有花,1,林夕,31
电视简介剧名：西部的天空时间：2001年,上映时间,西部的天空,7,2001年,15
《我站在桥上看风景》湖南卫视每晚几点播出 更新几集由芒果影视、深蓝影业出品的“甜宠2018冰山女孩的蜜恋治愈法”偶像剧《我站在桥上看风景》跨过寒冬，今晚22：00继续在湖南卫视青春进行时剧场两集连播,出品公司,我站在桥上看风景,1,芒果影视、深蓝影业,26
《不丹gnh创造乐土》是2011年广东南方日报出版社出版的图书，作者是易晓,作者,不丹gnh创造乐土,1,易晓,35
《今夜无人作证》是夏传林执导，巫刚、李敏、范智博等主演的电视剧,主演,今夜无人作证,1,范智博,21
"公司简介广州南玻玻璃有限公司成立于2003年7月, 现有员工近600名",总部地点,广州南玻玻璃有限公司,4,广州,4
《重生之最爱耀司》是十三月的妖精创作的网络小说，发表于晋江文学网,连载网站,重生之最爱耀司,1,晋江文学网,27
《六年级的猫》是2011年浙江文艺出版社出版的图书，作者是班马,作者,六年级的猫,1,班马,29
《与青春有关的日子2》又名我要活下去，是由周德华、游达志执导，贾一平、齐襄、许绍雄、罗兰等领衔主演的励志剧,导演,与青春有关的日子2,1,周德华,21
《凤袍》1是韩晓宝j在17k上连载的一部作品，这是一部古装言情小说，作品在17k连载中,作者,凤袍,1,韩晓宝j,6
《龙魄再续》作者是反三草，连载于17k小说网，小说类型是重生逆袭,连载网站,龙魄再续,1,17k小说网,16
贺铸(1052～1125) 北宋词人,出生日期,贺铸,0,1052,3
中国水土保持科学，2009（3） 李延成，杨吉华（通讯作者），房用，王月海，陈安强,国籍,中国,0,李延成,17
《苍穹の光》是飞兰的音乐作品，收录在《prism》专辑中,歌手,苍穹の光,1,飞兰,7
张权，男，汉族，山东省 县人，中共党员，硕士研究生,民族,张权,0,汉族,5
《病况》是香港歌手张敬轩的一首歌曲，由陈少琪作词，伍仲衡作曲，收录于专辑《笑忘书》中，发行于2006年10月20日,作词,病况,1,陈少琪,19
我又想起，上世纪80年代中，钱钟书的小说《围城》由人民文学出版社重版，钱瑗还请她爸爸题签赠我，由她寄来,父亲,钱钟书,14,钱瑗,35
人物简介姓　名：鲍英　　　性　别：男　　民　族：汉族　　籍　贯：安徽金寨　　出生年月：1910年　　牺牲日期：1932年　2生平介绍自幼读私塾，品学兼优，后入笔架山蚕桑农校读书,民族,鲍英,8,汉族,24
《汉字的魔方》是2008年复旦大学出版社出版的图书，作者是葛兆光,作者,汉字的魔方,1,葛兆光,29
《绝战》是由广西电影集团、北京金菲林影视策划有限公司联合出品的战争历史剧，由马鲁剑执导，石凉、温峥嵘、王骏毅、陶宇佳领衔主演1,主演,绝战,1,王骏毅,51
波士顿大学波大学子哈佛大学哈佛大学，坐落于美国马萨诸塞州的哈佛大学，诞生于1636年，是一所享誉世界的私立研究型大学，也是著名的常春藤盟校成员，在最新的世界大学学术排名（arwu)和usnews世界大学排名中，它保持着世界第一的傲人成绩，这里走出了8位美国总统，133位诺贝尔奖得主（世界第一），其在文学、医学、法学、商学等多个领域拥有崇高的学术地位及广泛影响力，被公认为世界最顶尖的高等教育机构之一,成立日期,哈佛大学,9,1636,37
《南陵碎尸案》是寒雪风的冬季所著17k小说网连载的推理悬疑小说,作者,南陵碎尸案,1,寒雪风的冬季,8
戴炳泉（1911－1932），福建省龙岩县（今龙岩市新罗区）龙门镇湖坑村人,出生地,戴炳泉,0,福建省龙岩县,15
保时捷最早成立于1931年的斯图加特，是至今为止可谓是全球最大、历史最悠久的跑车制造商了（ps：上一句话来自保时捷官网）,成立日期,保时捷,0,1931年,8
五、有关当事人1、发行人：泰安市泰山投资有限公司地址：泰安市泰山区温泉路中段566号东楼联系人：张绪联系电话：0538-6221830传真：0538-6221823邮政编码：2710002、主承销商: 恒泰长财证券有限责任公司3地 址：长江路经济开发区长江路57号五层479段联 系 人：陈斌联系电话：010-56673750传 真：010-56673749邮政编码：1000323、托管机构：中央国债登记结算有限责任公司地 址：北京市西城区金融大街10号联 系 人：董屹、李振铎联系电话： 010-88170740、010-88170208邮政编码：100032特此公告,总部地点,中央国债登记结算有限责任公司,197,北京市西城区金融大街10号,215
《生存密码》是由玉圭园集团、台山百峰文化传媒有限公司、凯旋时代（北京）文化投资有限公司、北京完美时代国际影视联合出品的“中国首部荒岛历险悬疑”电视剧，马建伟、杨威、任宇卿执导，张云龙、贡米等主演,导演,生存密码,1,任宇卿,82
他的母亲贝尔塔·克虏伯是克虏伯帝国的真正创始人阿尔弗雷德·克虏伯(1812—1886年)的孙女,出生日期,阿尔弗雷德·克虏伯,23,1812,33
从北向南流的湄南河把曼谷分为东西两半，东面是曼谷，又称京府，西面是吞武里,所在城市,湄南河,6,曼谷,10
其实提到范玮琪首先想起的便是那首《最初的梦想》，她的歌里带着满满的正能量，像个邻家大姐姐一样激励了不少的正值青春奋斗的少年少女们，当时绝对有不少班歌选择这首歌，上歌厅也绝对是必点,歌手,范玮琪,4,最初的梦想,17
刘炎发  1958年5月生，湖北天门人，中共党员，大专文化，天门市石河镇党委书记、人大主席，市人大常委会石河镇联络处主任,出生地,刘炎发,0,湖北天门,14
与李宇辰既是黄冈高中校友又是清华大学校友的方昶说，李学长比我高一届，本科时跟他接触过好几次,毕业院校,李宇辰,1,清华大学,14
《城市的组合》是2008年中国建筑工业出版社出版的图书，作者是斯皮罗·科斯托夫,出版社,城市的组合,1,中国建筑工业出版社,13
"徐军是宁波尚丽整形医院名誉院长，东莞玛丽亚专家，毕业于北京协和医学院研究生院，现任主治医师，现为中国医师协会美容与整形医师分会常委，美国宾西法尼亚大学医学中心整形外科,博士后，中国人民解放军总医院整形修复科主任医师",毕业院校,徐军,0,北京协和医学院,27
叶向荣，号春廷，生于1876年3月13日，湖北省荆门县人,出生日期,叶向荣,0,1876年3月13日,10
《犹太哲学史》（傅有德等），中国人民大学出版社，2008、2,出版社,犹太哲学史,1,中国人民大学出版社,14
1997年编著的《中国动物志 蛛形纲 蜘蛛目 蟹蛛科 逍遥蛛科》网上亦有出售,目,蜘蛛目,19,逍遥蛛科,27
《缘来旧爱》是夏天橙写的网络小说连载于17k小说网,作者,缘来旧爱,1,夏天橙,7
黑月光鱼（xiphophorus hellerii×xiphophorus maculatus），为鳉形目（鲤齿目），鲤齿亚目，花鳉科，剑尾鱼属一种由人工培育出的淡水观赏鱼类,目,黑月光鱼,0,鳉形目,50
《山居秋暝》唐：王维空山新兩后，天气晚来秋,作者,山居秋暝,1,王维,8
1994年12月28日，徐州矿务局成立徐州矿业有限公司，负责组织和调剂局内富余生产队伍，开采煤田范围内构造复杂的煤层，组织和管理全局对外采矿技术咨询业务和劳务输出，归口管理外联队伍,成立日期,1994年12月28日,0,徐州矿业有限公司,19
敦煌故事 - 王宏伟,歌手,敦煌故事,0,王宏伟,7
厦门杰诗宝酒业有限公司于2012年12月17日在厦门市湖里区市场监督管理局登记成立,成立日期,厦门杰诗宝酒业有限公司,0,2012年12月17日,12
《异界之骑士纹章》是少v杰创作的网络小说，发表于17k小说网,作者,异界之骑士纹章,1,少v杰,10
比如温碧霞，在嫁给富商何祖光以后，并没有放弃对自己事业的追求,妻子,温碧霞,2,何祖光,11
敏锐的市场洞察和差异化战略使得丁水波先生掌舵的特步成功超越了众多实力强劲的对手，迅速跻身中国体育用品行业第一军团,创始人,丁水波,15,特步,23
（02:51） 1  2                                创作背景：由席慕蓉、德德玛、乌兰托嘎联袂创作的寻根思乡曲《父亲的草原母亲的河》，集一个诗人与生俱来的梦、一个歌唱家穿透时空的灵感、一个作曲家淋漓酣畅的表达于一身,作曲,乌兰托嘎,58,父亲的草原母亲的河,73
董子健妈妈是金牌经纪人，因为她是北京拾捌经纪文化有限公司总经理，中国第一代文化经纪人，大名鼎鼎的王京花，李冰冰、任泉、胡军、范冰冰等演员都是被她带红的,国籍,中国,32,任泉,56
李学明，原名薄熙永，共和国元老薄一波的长子，薄熙来的大哥，母亲胡明,父亲,薄一波,15,薄熙来,22
雄踞江东的孙权孙权麾下比较有名的大将有：周瑜、太史慈、甘宁、程普、吕蒙、陆逊、张昭等周瑜，字公瑾，年少时与孙策交好，21岁起跟随孙策奔赴战场平定江东，孙策死后，周瑜从外地带兵前来奔丧，留在吴郡孙权身边任中护军，他握有重兵，用君臣之礼对待孙权，同长史张昭共同掌管军政大事,字,周瑜,20,公瑾,46
【南京日报报道】经江苏省文化厅批准并由江苏省民政厅注册登记的我省首家大型书画艺术研究机构——江苏省国际书画艺术研究会12月29日正式在南京成立,成立日期,江苏省国际书画艺术研究会,46,12月29日,58
《成长的书香-当代儿童文学名家作品精选童话卷2》是2007年黑龙江科技出版社出版的图书，作者是谭旭东,作者,成长的书香-当代儿童文学名家作品精选童话卷2,1,谭旭东,47
